prmsTitle
중구문화원 설립
장애인복지회관 건립
용두산 공영주차장 부지 복합개발 방안 연구용역 추진
영도대교 미디어 파사드 구축
근·현대 중구 역사문화자원 관광해설판 설치
코로나-19 극복 300억원 규모 추경안 시행
"평택 삼성반도체, 용인 SK 하이닉스 배후산단 조성 추진"
버스준공영제 즉각 실행
안성시 전역 무료 와이파이망 구축
공도읍 시민청(문화복지 복합타운) 건립
농어촌 융복합 창업 보육 센타
해양 스포츠 클러스트
농수산물 가공 유통 센타
해양 심층수를 이용한 육상 양식 지원 확대
해변 데크 산책로 개설
준비된 군수와 함께 발전하는 횡성
기업 유치 및 일자리 걱정 없는 횡성
농축산업 살리기 정책
어르신이 존경받고 살기 좋은 횡성
군민 행복이 실현되는 일터·삶터·쉼터
편하고 안전한 대중교통을 위한 스마트대중교통체계 도입
코로나19로 인해 무너진 시민여러분의 일상과 침체된 지역경제 회복 추진
독립기념관 내 문화예술(K-컬쳐)전시관 및 K-아트 엑스포 개최 추진
기업하기 좋은 도시 구축을 통한 양질의 일자리 창출
시청 옆 불당동 체육부지 패밀리 테마파크 조성
풍요로운 진안
차별 없는 행복 진안
미래 인재를 키우는 진안
여행도 영화가 되는 진안
일사천리 행정 진안
빛그린산단 배후단지 조성
&apos;산으로 바다로&apos; 힐빙 함평관광 프로젝트 추진(4·4·8 함평체험 프로젝트)
함평천지복지재단 설립
국립 축산클러스터 국가정책사업 유치
함평의 백년지대계를 위한 명품교육
더 커지고 더 강해지는 상주건설
지역거점 공공병원 기능과 역할 확대
이색사업과 발상의 전환으로 지역특화
농·특산물 융복합 유통센터 건립
깨끗하고 신뢰받는 시청운영
산학협력으로 도심형 청년일자리를 많이 만들겠습니다
15분도시로 편리한 시민생활을 보장하겠습니다
도심형 초고속자기부상열차 ‘어반루프’ 건설로 편리한 교통망을 갖추겠습니다
부산의 문화와 일상의 품격을 한단계 높이겠습니다
고품질 복지로 여성과 아이들이 행복한 부산을 만들겠습니다
스피드 주택공급
스피드 교통
균형발전 서울
1인가구 안심특별대책본부 설치
청춘이 밥 먹여준다!
부림일반산단 조기조성
전통시장 활성화
대한민국에서 가장 살고 싶은 도시 의령
"관광, 문화도시 구축"
농민이 잘사는 농촌부흥프로젝트
코로나19 위기 극복에 행정력 극대화
소상공인지원 및 지역경제활성화
안심하고 아이 키우기 좋은 남구만들기
활력경제로 새로운 남구만들기
복지혜택을 더 많이 누릴 수 있는 남구 만들기
